period	period_id	status	division	division_id	leader_rows	course_tables	player_counts_per_course	observations	scored	unplayed	dom_sha256	structured_json_sha256	raw_html	raw_text	raw_json	exact_player_names
2026 May	401	COMPLETED	Pro 3	25	12	8	Quixote Valley:12;Quixote Valley Hard:12;Atlantis:12;Atlantis Hard:12;Raptor Cliff's:12;Raptor Cliff's - Hard:12;Tokyo:12;Tokyo - Hard:12	96	64	32	7054C7D9346234C9F899007005B4EDC6840D25AE4CBB679CCBCF1B6DDF1B75A2	E0D5C8D39963A55137D398D42EC5C24C13FED699516A399BE62163C925802E84	raw/period-401-division-25.html	raw/period-401-division-25.txt	raw/period-401-division-25.json	["leanin2it","BadWolff🐺","Nic79","lynniebodd","breezy","musical_atv 🎻","Kd","NuttyGrandpa","gopats37","D3bb13","pluff","ARTSY"]
2026 May	401	COMPLETED	Semi Pro 1	113	10	8	Quixote Valley:10;Quixote Valley Hard:10;Atlantis:10;Atlantis Hard:10;Raptor Cliff's:10;Raptor Cliff's - Hard:10;Tokyo:10;Tokyo - Hard:10	80	62	18	1C4C38EDD479A9C3B8864DCF6404F05EF7113CD6A53CD66C774B143BCD32651C	F5B86E781A7C74EB929766D7CFC0B73B9D9040808F27FC688B646691D9969C49	raw/period-401-division-113.html	raw/period-401-division-113.txt	raw/period-401-division-113.json	["Jennem","Audrey","GREATSEER5024","Sj_76","Ultrafox_Lynne","Bearded_Driver","SMILEROBIN","Earthling","KIM","Missi"]
2026 May	401	COMPLETED	Beginner	81	0	0		0	0	0	C109271B5EE09E6DBA8B2926DBBBE3F5B1BFA17AD3998DBD4E57CE8DA7BF5819	95100C1E6ECC3A85C18F6D1E3F3E05834366D2E91EDC19467A11218717DBF844	raw/period-401-division-81.html	raw/period-401-division-81.txt	raw/period-401-division-81.json	
2026 May	401	COMPLETED	Welcome	62	8	8	Quixote Valley:8;Quixote Valley Hard:8;Atlantis:8;Atlantis Hard:8;Raptor Cliff's:8;Raptor Cliff's - Hard:8;Tokyo:8;Tokyo - Hard:8	64	2	62	269AC7CCF10E4C1132CBB10E104262502DB173B1391B5EDAEED0DC39CA5B3F2E	0ED1618565959A6F4C9FD173C46E52932B936F5BB4AEB1110B1B9C3A5A151EBD	raw/period-401-division-62.html	raw/period-401-division-62.txt	raw/period-401-division-62.json	["YUK1N","Derby_Daz","Shooter_McGavin","SHANNON_OLIVEOWL","Woofmaster521 (Kathy)","AndyP1970","Puffin","Chicagobry"]
2026 May	401	COMPLETED	Semi Pro 2	114	7	8	Quixote Valley:7;Quixote Valley Hard:7;Atlantis:7;Atlantis Hard:7;Raptor Cliff's:7;Raptor Cliff's - Hard:7;Tokyo:7;Tokyo - Hard:7	56	28	28	C7446305E9E0C5DB725189F8301C228485A7E01995D343590A49034FE01F3A54	4F7F8067B0A8CAD7CF6C7518D9F6EC61647924D72BE6CDBDD784573AA7D654F8	raw/period-401-division-114.html	raw/period-401-division-114.txt	raw/period-401-division-114.json	["KillERBee","WendyW(Wyndemere2020)","IMJOMAMA","Heisenberg","DARLAVA","nootnootthesnek","SHA_HOOF_NA"]
2026 May	401	COMPLETED	Semi Pro 3	115	7	8	Quixote Valley:7;Quixote Valley Hard:7;Atlantis:7;Atlantis Hard:7;Raptor Cliff's:7;Raptor Cliff's - Hard:7;Tokyo:7;Tokyo - Hard:7	56	10	46	77CEFA1E71905D84776C3C29028A6E1ED0613E11A355B2DE219412FD66DE31B5	D53FC9746ADB151401546635CE766B2D27E24FDADA7220633EC307947556D22C	raw/period-401-division-115.html	raw/period-401-division-115.txt	raw/period-401-division-115.json	["Maximus_PrimeIV","Bethann","Gatorsfan89","HaphazardOak007","ANDOFGOD","Fry_Lock","sarahloo1971"]
2026 April	381	COMPLETED	Master	21	10	8	Labyrinth:10;Labyrinth - Hard:10;El Dorado:10;El Dorado Hard:10;Wallace & Gromit:10;Wallace & Gromit - Hard:10;8-Bit Lair:10;8-Bit Lair - Hard:10	80	76	4	C1C8C8F0FEC72CA212897D3AE45B7C487B6BDD62BEFB37AE55B0E71AD2DAA9C9	D5FFD376D8F8AA2E448958780A894E163315FC10D754416582EF6475B05A01BD	raw/period-381-division-21.html	raw/period-381-division-21.txt	raw/period-381-division-21.json	["TrickyDicky","yankeedude1123","Blutes87","El Jorge","Zanetti","Neo Impossible","Mully","Princess_Bankshot","Gobson","INDY"]
2026 April	381	COMPLETED	Elite	22	10	8	Labyrinth:10;Labyrinth - Hard:10;El Dorado:10;El Dorado Hard:10;Wallace & Gromit:10;Wallace & Gromit - Hard:10;8-Bit Lair:10;8-Bit Lair - Hard:10	80	72	8	0939FE03BCB02BD0F7A46E16888BAC5EC07AA5640117ADFB317DD6D7B7BE71F2	1FE010FB6B5A743F8F05592AF59B9373D41C79A434110C7F2E026D68725E566A	raw/period-381-division-22.html	raw/period-381-division-22.txt	raw/period-381-division-22.json	["Chelle💯","Slappy","POLANECE","ZoeDarlin","Maximus","PETERK9FLORIDA","Spicy - DawnSophia","bigja33","Matt916","stewiestewie"]
2026 April	381	COMPLETED	Pro 1	23	10	8	Labyrinth:10;Labyrinth - Hard:10;El Dorado:10;El Dorado Hard:10;Wallace & Gromit:10;Wallace & Gromit - Hard:10;8-Bit Lair:10;8-Bit Lair - Hard:10	80	64	16	B813C4E3FCC3082B955A48E5AE40416CCBBA764DA12C984FB533F08D66228662	999069A2C0BBED771B6C0B221583E5E75E2E34DE39E40D4092A8B1A2791AD117	raw/period-381-division-23.html	raw/period-381-division-23.txt	raw/period-381-division-23.json	["PaulV-PPP 🇨🇦","gomarino13","roknhorsebrat","FORE_FUN","mammothrept","Master_KP","deebee","awesome_kris","YODA","AndyP1970"]
2026 April	381	COMPLETED	Pro 2	24	10	8	Labyrinth:10;Labyrinth - Hard:10;El Dorado:10;El Dorado Hard:10;Wallace & Gromit:10;Wallace & Gromit - Hard:10;8-Bit Lair:10;8-Bit Lair - Hard:10	80	64	16	B32F2CF5B728BE9A5E0D6ECC41AF8266C3DC129D24185EEA5E62553FADB7076B	E94564D41AB21352BF128CBE0346D081CEE85188FBD5FFDEDFE7E607C54D1AA1	raw/period-381-division-24.html	raw/period-381-division-24.txt	raw/period-381-division-24.json	["mini_G","gopats37","SerenityMoon","ARTSY","lefty","Chipnputt","SlugJug33","Raccoons Whisker","DMD-Enditnow","Derby_Daz"]
2026 April	381	COMPLETED	Pro 3	25	12	8	Labyrinth:12;Labyrinth - Hard:12;El Dorado:12;El Dorado Hard:12;Wallace & Gromit:12;Wallace & Gromit - Hard:12;8-Bit Lair:12;8-Bit Lair - Hard:12	96	84	12	B181DD801626DC467D29A2F1F408176093E7612D42DB2935846076927DD70BB9	0AAC337C755276E520C1EF45F7C62AB43D19CCC9116C29191F8582A24C7C9A7F	raw/period-381-division-25.html	raw/period-381-division-25.txt	raw/period-381-division-25.json	["leanin2it","plucky✌","D3bb13","The Real JB","Alyssa38","GREATSEER5024","Kd","KIM","BadWolff🐺","lynniebodd","Jennem","YUK1N"]
