season,division,historical_name,left_placement,right_placement,left_side,left_row,right_side,right_row,left_rank_cell,right_rank_cell,source_url
S1,8,Exny_amyb,1st,2nd,R,60,L,61,A60:A60,V61:V61,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1323020530&range=A60:V61
S2,1,MULLIGAN,1st,3rd,L,11,R,13,A11:A11,V13:V13,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=382041783&range=A11:V13
S2,1,YUK1N,1st,4th,R,11,L,14,A11:A11,V14:V14,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=382041783&range=A11:V14
S2,1,BIGJA,2nd,4th,L,12,R,14,A12:A12,V14:V14,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=382041783&range=A12:V14
S2,1,STROKELIMITREACHED,2nd,3rd,R,12,L,13,A12:A12,V13:V13,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=382041783&range=A12:V13
S2,2,TRICKYDICKY,2nd,3rd,R,19,L,20,A19:A19,V20:V20,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=382041783&range=A19:V20
S2,2,YODA,3rd,4th,R,20,L,21,A20:A20,V21:V21,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=382041783&range=A20:V21
S2,3,STEWIE,1st,2nd,L,25,R,26,A25:A25,V26:V26,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=382041783&range=A25:V26
S2,3,MAXIMUS,1st,4th,R,25,L,28,A25:A25,V28:V28,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=382041783&range=A25:V28
S2,3,DERBY_DAZ,2nd,3rd,L,26,R,27,A26:A26,V27:V27,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=382041783&range=A26:V27
S2,3,SLAPPY,3rd,4th,L,27,R,28,A27:A27,V28:V28,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=382041783&range=A27:V28
S2,4,JAMIE_THE_TIGER,1st,3rd,L,32,R,34,A32:A32,V34:V34,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=382041783&range=A32:V34
S2,4,CHICAGOBRY,1st,3rd,R,32,L,34,A32:A32,V34:V34,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=382041783&range=A32:V34
S2,5,GuyB,2nd,3rd,R,40,L,41,A40:A40,V41:V41,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=382041783&range=A40:V41
S2,5,Mammothrept,3rd,4th,R,41,L,42,A41:A41,V42:V42,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=382041783&range=A41:V42
S2,6,Shooter_Mcgavin,1st,3rd,R,46,L,48,A46:A46,V48:V48,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=382041783&range=A46:V48
S2,6,Empzurg,2nd,3rd,L,47,R,48,A47:A47,V48:V48,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=382041783&range=A47:V48
S2,6,L7jazz,2nd,4th,R,47,L,49,A47:A47,V49:V49,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=382041783&range=A47:V49
S3,1,YUK1N,2nd,3rd,L,12,R,13,A12:A12,AB13:AB13,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1851245356&range=A12:AB13
