period	period_id	division	division_source_value	source_player_name_exact	source_player_id	course_game_identifier	exact_score_text	parsed_numeric_score	played_state	missing_score_state	leader_placement	evidence_filename
2025 September	241	Master	21	l7jazz	7908	Holiday Hideaway - Hard			missing	true	10	period-241-division-21.html
2025 September	241	Master	21	POLANECE	7948	Tokyo	-25	-25	scored	false	4	period-241-division-21.html
2025 September	241	Master	21	Blutes87	41	Tokyo	-25	-25	scored	false	1	period-241-division-21.html
2025 September	241	Master	21	El Jorge	24	Tokyo	-24	-24	scored	false	5	period-241-division-21.html
2025 September	241	Master	21	Gobson	4645	Tokyo	-24	-24	scored	false	3	period-241-division-21.html
2025 September	241	Master	21	Princess_Bankshot	4945	Tokyo	-22	-22	scored	false	9	period-241-division-21.html
2025 September	241	Master	21	INDY	22	Tokyo	-22	-22	scored	false	2	period-241-division-21.html
2025 September	241	Master	21	steven2018	8229	Tokyo	-22	-22	scored	false	8	period-241-division-21.html
2025 September	241	Master	21	Neo Impossible	1205	Tokyo	-21	-21	scored	false	6	period-241-division-21.html
2025 September	241	Master	21	Mully	88	Tokyo	-20	-20	scored	false	7	period-241-division-21.html
2025 September	241	Master	21	l7jazz	7908	Tokyo	-19	-19	scored	false	10	period-241-division-21.html
2025 September	241	Master	21	Gobson	4645	Tokyo - Hard	-20	-20	scored	false	3	period-241-division-21.html
2025 September	241	Master	21	El Jorge	24	Tokyo - Hard	-19	-19	scored	false	5	period-241-division-21.html
2025 September	241	Master	21	INDY	22	Tokyo - Hard	-18	-18	scored	false	2	period-241-division-21.html
2025 September	241	Master	21	Blutes87	41	Tokyo - Hard	-18	-18	scored	false	1	period-241-division-21.html
2025 September	241	Master	21	POLANECE	7948	Tokyo - Hard	-17	-17	scored	false	4	period-241-division-21.html
2025 September	241	Master	21	steven2018	8229	Tokyo - Hard	-16	-16	scored	false	8	period-241-division-21.html
2025 September	241	Master	21	Neo Impossible	1205	Tokyo - Hard	-16	-16	scored	false	6	period-241-division-21.html
2025 September	241	Master	21	Princess_Bankshot	4945	Tokyo - Hard	-15	-15	scored	false	9	period-241-division-21.html
2025 September	241	Master	21	l7jazz	7908	Tokyo - Hard	-14	-14	scored	false	10	period-241-division-21.html
2025 September	241	Master	21	Mully	88	Tokyo - Hard	-13	-13	scored	false	7	period-241-division-21.html
2026 March	361	Semi Pro 2	114	NuttyGrandpa	93	Arizona Modern	-24	-24	scored	false	2	period-361-division-114.html
2026 March	361	Semi Pro 2	114	Earthling	230	Arizona Modern	-21	-21	scored	false	1	period-361-division-114.html
2026 March	361	Semi Pro 2	114	Audrey	8608	Arizona Modern	-17	-17	scored	false	3	period-361-division-114.html
2026 March	361	Semi Pro 2	114	SMILEROBIN	7589	Arizona Modern	-17	-17	scored	false	4	period-361-division-114.html
2026 March	361	Semi Pro 2	114	Bearded_Driver	8428	Arizona Modern	-14	-14	scored	false	7	period-361-division-114.html
2026 March	361	Semi Pro 2	114	WendyW(Wyndemere2020)	7231	Arizona Modern	-13	-13	scored	false	5	period-361-division-114.html
2026 March	361	Semi Pro 2	114	Heisenberg	8388	Arizona Modern	-11	-11	scored	false	6	period-361-division-114.html
2026 March	361	Semi Pro 2	114	Earthling	230	Arizona Modern Hard	-14	-14	scored	false	1	period-361-division-114.html
2026 March	361	Semi Pro 2	114	NuttyGrandpa	93	Arizona Modern Hard	-12	-12	scored	false	2	period-361-division-114.html
2026 March	361	Semi Pro 2	114	Audrey	8608	Arizona Modern Hard	-11	-11	scored	false	3	period-361-division-114.html
2026 March	361	Semi Pro 2	114	Heisenberg	8388	Arizona Modern Hard	-8	-8	scored	false	6	period-361-division-114.html
2026 March	361	Semi Pro 2	114	Bearded_Driver	8428	Arizona Modern Hard	-3	-3	scored	false	7	period-361-division-114.html
2026 March	361	Semi Pro 2	114	WendyW(Wyndemere2020)	7231	Arizona Modern Hard	2	2	scored	false	5	period-361-division-114.html
2026 March	361	Semi Pro 2	114	SMILEROBIN	7589	Arizona Modern Hard	8	8	scored	false	4	period-361-division-114.html
2026 March	361	Semi Pro 2	114	Earthling	230	Original Gothic	-19	-19	scored	false	1	period-361-division-114.html
2026 March	361	Semi Pro 2	114	NuttyGrandpa	93	Original Gothic	-17	-17	scored	false	2	period-361-division-114.html
2026 March	361	Semi Pro 2	114	Audrey	8608	Original Gothic	-16	-16	scored	false	3	period-361-division-114.html
2026 March	361	Semi Pro 2	114	SMILEROBIN	7589	Original Gothic	-12	-12	scored	false	4	period-361-division-114.html
